,Trial_num,image_path,ground_truth,image_name,demos.thisRepN,demos.thisTrialN,demos.thisN,demos.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block1_rep2.thisRepN,block1_rep2.thisTrialN,block1_rep2.thisN,block1_rep2.thisIndex,block2_rep.thisRepN,block2_rep.thisTrialN,block2_rep.thisN,block2_rep.thisIndex,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text.started,text.stopped,trail_num.started,trail_num.stopped,image_6.started,image_6.stopped,Judgement.keys,Judgement.rt,Judgement.started,Judgement.stopped,text_19.started,text_19.stopped,text_12.started,text_12.stopped,image.started,image.stopped,text_2.started,text_2.stopped,text_13.started,text_13.stopped,text_16.started,text_16.stopped,session,date,expName,psychopyVersion,frameRate
0,Demo 1,demo/Demo_IMG_0974.jpg,demo,Demo_IMG_0974.jpg,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,24.66029995,None,29.87807892,None,42.91625184,None,45.71600266,None,47.08311151,None,1,6.096509408,48.16798986,None,48.16798986,None,,,,,,,,,,,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
1,Demo 2,demo/Demo_IMG_1024.jpg,demo,Demo_IMG_1024.jpg,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,54.28672476,None,55.65240553,None,1,2.143164808,56.76933377,None,56.76933377,None,,,,,,,,,,,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
2,Demo 3,demo/Demo_seed_80003.png,demo,Demo_seed_80003.png,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,58.9372941,None,60.28815927,None,1,3.251501005,61.42093381,None,61.42093381,None,,,,,,,,,,,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
3,Trial # 1,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0022.jpg,1,Group1_IMG_0022.jpg,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,108.7202092,None,,,1,0.846182752,111.1863169,None,111.1863169,None,65.18857697,None,110.0526116,None,,,,,,,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
4,Trial # 2,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0386.jpg,0,encoded_Group2_IMG_0386.jpg,,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,112.0533867,None,,,0,3.319090899,114.5213434,None,114.5213434,None,,,113.3549339,None,,,,,,,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
5,Trial # 3,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9704.jpg,1,Group1_IMG_9704.jpg,,,,,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,117.8728016,None,,,1,0.892643247,120.3398577,None,120.3398577,None,,,119.1900063,None,,,,,,,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
6,Trial # 4,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0406.jpg,1,Group1_IMG_0406.jpg,,,,,0.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,121.2603242,None,,,1,2.219977345,123.7405223,None,123.7405223,None,,,122.572965,None,,,,,,,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
7,Trial # 5,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0364.jpg,0,encoded_Group2_IMG_0364.jpg,,,,,0.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,125.9910117,None,,,0,1.323965195,128.4765343,None,128.4765343,None,,,127.2910395,None,,,,,,,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
8,Trial # 6,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0407.jpg,0,encoded_Group2_IMG_0407.jpg,,,,,0.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,129.8252387,None,,,1,1.37091525,132.3095589,None,132.3095589,None,,,131.1429373,None,,,,,,,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
9,Trial # 7,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0428.jpg,1,Group1_IMG_0428.jpg,,,,,0.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,133.7103985,None,,,1,1.06336028,136.177139,None,136.177139,None,,,135.0100776,None,,,,,,,1,2022_Mar_23_1432,Real-fake-judgement-flashing-group1,2021.1.2,60.00468781
