,Trial_num,image_path,ground_truth,image_name,demos.thisRepN,demos.thisTrialN,demos.thisN,demos.thisIndex,block_1.thisRepN,block_1.thisTrialN,block_1.thisN,block_1.thisIndex,block_2.thisRepN,block_2.thisTrialN,block_2.thisN,block_2.thisIndex,text_3.started,text_3.stopped,Task.started,Task.stopped,text_10.started,text_10.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,image_3.started,image_3.stopped,text_6.started,text_6.stopped,translucency.started,translucency.stopped,see_throughness.started,see_throughness.stopped,glow.started,glow.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,instruction.started,instruction.stopped,text_12.started,text_12.stopped,Trial_number.started,Trial_number.stopped,image.started,image.stopped,Instruction.started,Instruction.stopped,translucency_score.response,translucency_score.rt,translucency_score.started,translucency_score.stopped,Translucency.started,Translucency.stopped,seethroughness_score.response,seethroughness_score.rt,seethroughness_score.started,seethroughness_score.stopped,SeeThroughness.started,SeeThroughness.stopped,glow_score.response,glow_score.rt,glow_score.started,glow_score.stopped,Glow.started,Glow.stopped,to_next.keys,to_next.rt,to_next.started,to_next.stopped,grading_label_left.started,grading_label_left.stopped,grading_label_right.started,grading_label_right.stopped,instruct1.started,instruct1.stopped,instruct2.started,instruct2.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,session,date,expName,psychopyVersion,frameRate,Unnamed: 94
0,,,,,,,,,,,,,,,,,16.24942641297821,None,32.99779648601543,None,53.42077009798959,None,space,49.43970097391866,58.388209545984864,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022_Apr_01_1317,SAR-soap,2021.1.2,60.00827312906842,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,108.32052274700254,None,108.32052274700254,None,117.15661686798558,None,117.15661686798558,None,129.41062760306522,None,129.41062760306522,None,129.41062760306522,None,space,32.393199895042926,129.41062760306522,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022_Apr_01_1317,SAR-soap,2021.1.2,60.00827312906842,
2,Demo 1,demo/Demo_IMG_0974.jpg,demo,Demo_IMG_0974.jpg,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.41062760306522,None,161.83997958502732,None,167.68797237798572,None,167.68797237798572,None,167.68797237798572,None,6.0,47.65321528306231,167.68797237798572,None,167.68797237798572,None,5.0,46.12454667093698,193.62965724105013,None,167.68797237798572,None,5.0,61.56833112402819,213.35266313701868,None,167.68797237798572,None,space,1.8547876999946311,61.59183226979803,None,167.68797237798572,None,167.68797237798572,None,,,,,,,,,1,2022_Apr_01_1317,SAR-soap,2021.1.2,60.00827312906842,
3,Demo 2,demo/Demo_IMG_1024.jpg,demo,Demo_IMG_1024.jpg,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.2074295170605,None,231.2074295170605,None,231.2074295170605,None,1.0,4.90551722899545,231.2074295170605,None,231.2074295170605,None,1.0,5.845176880946383,235.66021958901547,None,231.2074295170605,None,1.0,7.051165848970413,236.60991644498424,None,231.2074295170605,None,space,1.9954658510396257,7.070441274088807,None,231.2074295170605,None,231.2074295170605,None,,,,,,,,,1,2022_Apr_01_1317,SAR-soap,2021.1.2,60.00827312906842,
4,Demo 3,demo/Demo_seed_80003.png,demo,Demo_seed_80003.png,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.3608755080495,None,240.3608755080495,None,240.3608755080495,None,6.0,5.192781297024339,240.3608755080495,None,240.3608755080495,None,4.0,7.965063776005991,245.0958279139595,None,240.3608755080495,None,6.0,11.206084521021694,247.8793816700345,None,240.3608755080495,None,space,4.424062431091443,9.69644877803512,None,240.3608755080495,None,240.3608755080495,None,,,,,,,,,1,2022_Apr_01_1317,SAR-soap,2021.1.2,60.00827312906842,
5,Trial # 1,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0022.jpg,1,Group1_IMG_0022.jpg,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.33835597196594,None,277.33835597196594,None,277.33835597196594,None,2.0,8.185503509012051,277.33835597196594,None,277.33835597196594,None,1.0,23.24640464701224,285.07437150296755,None,277.33835597196594,None,3.0,27.652630422031507,300.1468652880285,None,277.33835597196594,None,space,1.5369895090116188,27.68425908824429,None,277.33835597196594,None,277.33835597196594,None,254.48220484296328,None,254.48220484296328,None,254.48220484296328,None,,,1,2022_Apr_01_1317,SAR-soap,2021.1.2,60.00827312906842,
6,Trial # 2,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0386.jpg,0,encoded_Group2_IMG_0386.jpg,,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306.6146196729969,None,306.6146196729969,None,306.6146196729969,None,4.0,4.560799118014984,306.6146196729969,None,306.6146196729969,None,3.0,10.818909174995497,310.7157084030332,None,306.6146196729969,None,5.0,12.824390309979208,316.9837996379938,None,306.6146196729969,None,space,1.0838694769190624,12.851258444599807,None,306.6146196729969,None,306.6146196729969,None,,,,,,,,,1,2022_Apr_01_1317,SAR-soap,2021.1.2,60.00827312906842,
7,Trial # 3,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9704.jpg,1,Group1_IMG_9704.jpg,,,,,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320.5852633960312,None,320.5852633960312,None,320.5852633960312,None,1.0,3.3787929270183668,320.5852633960312,None,320.5852633960312,None,1.0,4.4676297180121765,323.50437079695985,None,320.5852633960312,None,2.0,5.440333981066942,324.604400417069,None,320.5852633960312,None,space,1.4348140739602968,5.465485494583845,None,320.5852633960312,None,320.5852633960312,None,,,,,,,,,1,2022_Apr_01_1317,SAR-soap,2021.1.2,60.00827312906842,
8,Trial # 4,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0406.jpg,1,Group1_IMG_0406.jpg,,,,,0.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.5376279699849,None,327.5376279699849,None,327.5376279699849,None,3.0,7.043987171025947,327.5376279699849,None,327.5376279699849,None,2.0,9.716269482974894,334.1235964320367,None,327.5376279699849,None,2.0,14.122590251034126,336.80672035203315,None,327.5376279699849,None,space,0.4286858810810372,14.145307169412265,None,327.5376279699849,None,327.5376279699849,None,,,,,,,,,1,2022_Apr_01_1317,SAR-soap,2021.1.2,60.00827312906842,
9,Trial # 5,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0364.jpg,0,encoded_Group2_IMG_0364.jpg,,,,,0.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.1418372420594,None,342.1418372420594,None,342.1418372420594,None,1.0,1.926919740973972,342.1418372420594,None,342.1418372420594,None,1.0,2.9502880439395085,343.6102518689586,None,342.1418372420594,None,1.0,3.6882457089377567,344.6431161710061,None,342.1418372420594,None,space,0.2685364739736542,3.71266402467154,None,342.1418372420594,None,342.1418372420594,None,,,,,,,,,1,2022_Apr_01_1317,SAR-soap,2021.1.2,60.00827312906842,
10,Trial # 6,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0407.jpg,0,encoded_Group2_IMG_0407.jpg,,,,,0.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.1764137389837,None,346.1764137389837,None,346.1764137389837,None,2.0,4.626622912008315,346.1764137389837,None,346.1764137389837,None,2.0,8.751264572958462,350.3447326819878,None,346.1764137389837,None,2.0,8.089334607939236,351.8782551540062,None,346.1764137389837,None,space,1.3521684959996492,8.114083642489277,None,346.1764137389837,None,346.1764137389837,None,,,,,,,,,1,2022_Apr_01_1317,SAR-soap,2021.1.2,60.00827312906842,
11,Trial # 7,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0428.jpg,1,Group1_IMG_0428.jpg,,,,,0.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355.6798785469728,None,355.6798785469728,None,355.6798785469728,None,6.0,6.043874281924218,355.6798785469728,None,355.6798785469728,None,5.0,9.518386172014289,361.2646679079626,None,355.6798785469728,None,5.0,15.75833976501599,364.74908359895926,None,355.6798785469728,None,space,0.3964364549610764,15.782211046549492,None,355.6798785469728,None,355.6798785469728,None,,,,,,,,,1,2022_Apr_01_1317,SAR-soap,2021.1.2,60.00827312906842,
12,Trial # 8,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0474.jpg,0,encoded_Group2_IMG_0474.jpg,,,,,0.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371.8839136400493,None,371.8839136400493,None,371.8839136400493,None,1.0,2.310187204973772,371.8839136400493,None,371.8839136400493,None,1.0,3.1662360390182585,373.735529629048,None,371.8839136400493,None,1.0,3.904888653079979,374.6021996290656,None,371.8839136400493,None,space,0.2449910059804096,3.928852218668908,None,371.8839136400493,None,371.8839136400493,None,,,,,,,,,1,2022_Apr_01_1317,SAR-soap,2021.1.2,60.00827312906842,
13,Trial # 9,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_1506.jpg,0,encoded_Group2_IMG_1506.jpg,,,,,0.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.1024298020639,None,376.1024298020639,None,376.1024298020639,None,6.0,2.609096345026046,376.1024298020639,None,376.1024298020639,None,6.0,4.93090250599198,378.2539840060053,None,376.1024298020639,None,5.0,11.337678707903253,380.58679384202696,None,376.1024298020639,None,space,0.711744696018286,11.36284552863799,None,376.1024298020639,None,376.1024298020639,None,,,,,,,,,1,2022_Apr_01_1317,SAR-soap,2021.1.2,60.00827312906842,
