,Trial_num,image_name,image_path,pair_type,layers,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block3.thisRepN,block3.thisTrialN,block3.thisN,block3.thisIndex,image_8.started,image_8.stopped,selected_semantic.response,selected_semantic.rt,selected_semantic.started,selected_semantic.stopped,Instruction.started,Instruction.stopped,Trial_number.started,Trial_number.stopped,session,date,expName,psychopyVersion,Unnamed: 33
0,Trial # 1,layer0-5_O2_to_T1.jpg,layer0-5/layer0-5_O2_to_T1.jpg,OT,layer0-5,0.0,0.0,0.0,0.0,,,,,,,,,84.79836255218834,None,1.0,62.17467565834522,84.79836255218834,None,84.79836255218834,None,84.79836255218834,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
1,Trial # 2,layer0-5_O11_to_T7.jpg,layer0-5/layer0-5_O11_to_T7.jpg,OT,layer0-5,0.0,1.0,1.0,1.0,,,,,,,,,149.53535464731976,None,1.0,30.70510480320081,149.53535464731976,None,149.53535464731976,None,149.53535464731976,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
2,Trial # 3,layer6-8_O3_to_O5.jpg,layer6-8/layer6-8_O3_to_O5.jpg,OO,layer6-8,0.0,2.0,2.0,2.0,,,,,,,,,182.0275748251006,None,4.0,12.77963186101988,182.0275748251006,None,182.0275748251006,None,182.0275748251006,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
3,Trial # 4,layer6-8_O11_to_O4.jpg,layer6-8/layer6-8_O11_to_O4.jpg,OO,layer6-8,0.0,3.0,3.0,3.0,,,,,,,,,195.9163707862608,None,4.0,14.554306495003402,195.9163707862608,None,195.9163707862608,None,195.9163707862608,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
4,Trial # 5,layer6-8_O8_to_T8.jpg,layer6-8/layer6-8_O8_to_T8.jpg,OT,layer6-8,0.0,4.0,4.0,4.0,,,,,,,,,210.9876443739049,None,4.0,13.5866194749251,210.9876443739049,None,210.9876443739049,None,210.9876443739049,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
5,Trial # 6,layer0-5_O11_to_O8.jpg,layer0-5/layer0-5_O11_to_O8.jpg,OO,layer0-5,0.0,5.0,5.0,5.0,,,,,,,,,224.8910808241926,None,1.0,7.552378242835402,224.8910808241926,None,224.8910808241926,None,224.8910808241926,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
6,Trial # 7,layer0-5_T10_to_T11.jpg,layer0-5/layer0-5_T10_to_T11.jpg,TT,layer0-5,0.0,6.0,6.0,6.0,,,,,,,,,232.87662141490728,None,1.0,2.809496147092432,232.87662141490728,None,232.87662141490728,None,232.87662141490728,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
7,Trial # 8,layer9-17_O6_to_O9.jpg,layer9-17/layer9-17_O6_to_O9.jpg,OO,layer9-17,0.0,7.0,7.0,7.0,,,,,,,,,237.2113818251528,None,2.0,3.126049707643688,237.2113818251528,None,237.2113818251528,None,237.2113818251528,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
8,Trial # 9,layer6-8_O12_to_O9.jpg,layer6-8/layer6-8_O12_to_O9.jpg,OO,layer6-8,0.0,8.0,8.0,8.0,,,,,,,,,242.0968044991605,None,3.0,8.237151713110507,242.0968044991605,None,242.0968044991605,None,242.0968044991605,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
9,Trial # 10,layer0-5_O10_to_T2.jpg,layer0-5/layer0-5_O10_to_T2.jpg,OT,layer0-5,0.0,9.0,9.0,9.0,,,,,,,,,251.15011213626715,None,1.0,31.76227787090465,251.15011213626715,None,251.15011213626715,None,251.15011213626715,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
10,Trial # 11,layer9-17_T10_to_T2.jpg,layer9-17/layer9-17_T10_to_T2.jpg,TT,layer9-17,0.0,10.0,10.0,10.0,,,,,,,,,283.3083980130032,None,1.0,37.16213532304391,283.3083980130032,None,283.3083980130032,None,283.3083980130032,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
11,Trial # 12,layer6-8_T6_to_T7.jpg,layer6-8/layer6-8_T6_to_T7.jpg,TT,layer6-8,0.0,11.0,11.0,11.0,,,,,,,,,321.1886963439174,None,3.0,11.812591538764536,321.1886963439174,None,321.1886963439174,None,321.1886963439174,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
12,Trial # 13,layer9-17_O10_to_T2.jpg,layer9-17/layer9-17_O10_to_T2.jpg,OT,layer9-17,0.0,12.0,12.0,12.0,,,,,,,,,333.4249154692516,None,2.0,2.793817361816764,333.4249154692516,None,333.4249154692516,None,333.4249154692516,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
13,Trial # 14,layer6-8_T4_to_T7.jpg,layer6-8/layer6-8_T4_to_T7.jpg,TT,layer6-8,0.0,13.0,13.0,13.0,,,,,,,,,337.05912651726976,None,4.0,13.775231244973838,337.05912651726976,None,337.05912651726976,None,337.05912651726976,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
14,Trial # 15,layer9-17_O8_to_T2.jpg,layer9-17/layer9-17_O8_to_T2.jpg,OT,layer9-17,0.0,14.0,14.0,14.0,,,,,,,,,351.398028888274,None,2.0,3.241800731047988,351.398028888274,None,351.398028888274,None,351.398028888274,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
15,Trial # 16,layer0-5_T6_to_T9.jpg,layer0-5/layer0-5_T6_to_T9.jpg,TT,layer0-5,0.0,15.0,15.0,15.0,,,,,,,,,355.01547729596496,None,1.0,3.040483274962753,355.01547729596496,None,355.01547729596496,None,355.01547729596496,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
16,Trial # 17,layer0-5_O11_to_O12.jpg,layer0-5/layer0-5_O11_to_O12.jpg,OO,layer0-5,0.0,16.0,16.0,16.0,,,,,,,,,358.3820208981633,None,1.0,2.987967548891902,358.3820208981633,None,358.3820208981633,None,358.3820208981633,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
17,Trial # 18,layer0-5_T11_to_T5.jpg,layer0-5/layer0-5_T11_to_T5.jpg,TT,layer0-5,0.0,17.0,17.0,17.0,,,,,,,,,362.0836365050636,None,1.0,6.709255860187113,362.0836365050636,None,362.0836365050636,None,362.0836365050636,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
18,Trial # 19,layer0-5_O6_to_T12.jpg,layer0-5/layer0-5_O6_to_T12.jpg,OT,layer0-5,0.0,18.0,18.0,18.0,,,,,,,,,369.1188369262964,None,1.0,2.6650349530391395,369.1188369262964,None,369.1188369262964,None,369.1188369262964,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
19,Trial # 20,layer6-8_T6_to_T8.jpg,layer6-8/layer6-8_T6_to_T8.jpg,TT,layer6-8,0.0,19.0,19.0,19.0,,,,,,,,,372.1865371600725,None,4.0,4.306733973324299,372.1865371600725,None,372.1865371600725,None,372.1865371600725,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
20,Trial # 21,layer9-17_T2_to_T5.jpg,layer9-17/layer9-17_T2_to_T5.jpg,TT,layer9-17,0.0,20.0,20.0,20.0,,,,,,,,,377.3212377829477,None,2.0,2.4340161052532494,377.3212377829477,None,377.3212377829477,None,377.3212377829477,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
21,Trial # 22,layer6-8_O2_to_O6.jpg,layer6-8/layer6-8_O2_to_O6.jpg,OO,layer6-8,0.0,21.0,21.0,21.0,,,,,,,,,380.2565550450236,None,4.0,10.577060509007424,380.2565550450236,None,380.2565550450236,None,380.2565550450236,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
22,Trial # 23,layer9-17_O3_to_T12.jpg,layer9-17/layer9-17_O3_to_T12.jpg,OT,layer9-17,0.0,22.0,22.0,22.0,,,,,,,,,391.2257174109109,None,2.0,2.453798247966916,391.2257174109109,None,391.2257174109109,None,391.2257174109109,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
23,Trial # 24,layer0-5_O11_to_O3.jpg,layer0-5/layer0-5_O11_to_O3.jpg,OO,layer0-5,0.0,23.0,23.0,23.0,,,,,,,,,394.1601203191094,None,1.0,3.802261202130466,394.1601203191094,None,394.1601203191094,None,394.1601203191094,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
24,Trial # 25,layer6-8_O2_to_O9.jpg,layer6-8/layer6-8_O2_to_O9.jpg,OO,layer6-8,0.0,24.0,24.0,24.0,,,,,,,,,398.74445021897554,None,4.0,13.694090499076992,398.74445021897554,None,398.74445021897554,None,398.74445021897554,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
25,Trial # 26,layer9-17_O10_to_O8.jpg,layer9-17/layer9-17_O10_to_O8.jpg,OO,layer9-17,0.0,25.0,25.0,25.0,,,,,,,,,412.7823969689198,None,1.0,12.5945555572398,412.7823969689198,None,412.7823969689198,None,412.7823969689198,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
26,Trial # 27,layer9-17_T4_to_T6.jpg,layer9-17/layer9-17_T4_to_T6.jpg,TT,layer9-17,0.0,26.0,26.0,26.0,,,,,,,,,425.7872477020137,None,2.0,3.568086692132056,425.7872477020137,None,425.7872477020137,None,425.7872477020137,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
27,Trial # 28,layer6-8_O7_to_T8.jpg,layer6-8/layer6-8_O7_to_T8.jpg,OT,layer6-8,0.0,27.0,27.0,27.0,,,,,,,,,430.05559226311743,None,2.0,8.785934408660978,430.05559226311743,None,430.05559226311743,None,430.05559226311743,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
28,Trial # 29,layer6-8_T4_to_T5.jpg,layer6-8/layer6-8_T4_to_T5.jpg,TT,layer6-8,0.0,28.0,28.0,28.0,,,,,,,,,439.1567926169373,None,4.0,8.509563719853759,439.1567926169373,None,439.1567926169373,None,439.1567926169373,None,1,2022_May_04_1839,Semantic-hierachy,2021.1.2,
