,Trial_num,image_path,ground_truth,image_name,demos.thisRepN,demos.thisTrialN,demos.thisN,demos.thisIndex,block1.thisRepN,block1.thisTrialN,block1.thisN,block1.thisIndex,block2.thisRepN,block2.thisTrialN,block2.thisN,block2.thisIndex,block1_rep2.thisRepN,block1_rep2.thisTrialN,block1_rep2.thisN,block1_rep2.thisIndex,block2_rep.thisRepN,block2_rep.thisTrialN,block2_rep.thisN,block2_rep.thisIndex,text_3.started,text_3.stopped,text_4.started,text_4.stopped,text.started,text.stopped,trail_num.started,trail_num.stopped,image_6.started,image_6.stopped,Judgement.keys,Judgement.rt,Judgement.started,Judgement.stopped,text_19.started,text_19.stopped,text_12.started,text_12.stopped,image.started,image.stopped,text_2.started,text_2.stopped,text_13.started,text_13.stopped,session,date,expName,psychopyVersion,frameRate,Unnamed: 54
0,Demo 1,demo/Demo_IMG_0974.jpg,demo,Demo_IMG_0974.jpg,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,18.661755289009307,None,20.5801396050083,None,58.96179348000442,None,60.35863627999788,None,61.791609519015765,None,1,4.666076470020926,62.82512064202456,None,62.82512064202456,None,,,,,,,,,1,2022_Mar_25_1008,Real-fake-judgement-flashing-group1,2021.1.2,60.02963459203438,
1,Demo 2,demo/Demo_IMG_1024.jpg,demo,Demo_IMG_1024.jpg,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,67.51019047401496,None,68.86023936999845,None,1,1.8726182090176733,69.99461020500166,None,69.99461020500166,None,,,,,,,,,1,2022_Mar_25_1008,Real-fake-judgement-flashing-group1,2021.1.2,60.02963459203438,
2,Demo 3,demo/Demo_seed_80003.png,demo,Demo_seed_80003.png,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,71.89470398100093,None,73.26225726201665,None,0,0.7521846239978913,74.37896981602535,None,74.37896981602535,None,,,,,,,,,1,2022_Mar_25_1008,Real-fake-judgement-flashing-group1,2021.1.2,60.02963459203438,
3,Trial # 1,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0022.jpg,1,Group1_IMG_0022.jpg,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,81.88225381600205,None,,,1,1.351731570000993,84.31537149701035,None,84.31537149701035,None,75.64699552100501,None,83.18125621601939,None,,,,,1,2022_Mar_25_1008,Real-fake-judgement-flashing-group1,2021.1.2,60.02963459203438,
4,Trial # 2,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0386.jpg,0,encoded_Group2_IMG_0386.jpg,,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,85.70027598601882,None,,,0,0.9966959409939592,88.16653222800232,None,88.16653222800232,None,,,86.99933888899977,None,,,,,1,2022_Mar_25_1008,Real-fake-judgement-flashing-group1,2021.1.2,60.02963459203438,
5,Trial # 3,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9704.jpg,1,Group1_IMG_9704.jpg,,,,,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,89.18353141701664,None,,,0,0.9186139710072894,91.66862542700255,None,91.66862542700255,None,,,90.50194093299795,None,,,,,1,2022_Mar_25_1008,Real-fake-judgement-flashing-group1,2021.1.2,60.02963459203438,
6,Trial # 4,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0406.jpg,1,Group1_IMG_0406.jpg,,,,,0.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,92.6187537110236,None,,,1,1.3093989329936448,95.08581438602414,None,95.08581438602414,None,,,93.93499839800644,None,,,,,1,2022_Mar_25_1008,Real-fake-judgement-flashing-group1,2021.1.2,60.02963459203438,
7,Trial # 5,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0364.jpg,0,encoded_Group2_IMG_0364.jpg,,,,,0.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,96.41892782901414,None,,,0,0.3402246490004472,98.90298779599834,None,98.90298779599834,None,,,97.71946049900724,None,,,,,1,2022_Mar_25_1008,Real-fake-judgement-flashing-group1,2021.1.2,60.02963459203438,
8,Trial # 6,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0407.jpg,0,encoded_Group2_IMG_0407.jpg,,,,,0.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,99.27005230399664,None,,,0,0.2967786199878901,101.75443352101138,None,101.75443352101138,None,,,100.5881320440094,None,,,,,1,2022_Mar_25_1008,Real-fake-judgement-flashing-group1,2021.1.2,60.02963459203438,
9,Trial # 7,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0428.jpg,1,Group1_IMG_0428.jpg,,,,,0.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,102.07099161701626,None,,,1,1.4084349280165045,104.53874522302068,None,104.53874522302068,None,,,103.37112495600012,None,,,,,1,2022_Mar_25_1008,Real-fake-judgement-flashing-group1,2021.1.2,60.02963459203438,
