,Trial_num,image_path,ground_truth,image_name,demos.thisRepN,demos.thisTrialN,demos.thisN,demos.thisIndex,block_1.thisRepN,block_1.thisTrialN,block_1.thisN,block_1.thisIndex,block_2.thisRepN,block_2.thisTrialN,block_2.thisN,block_2.thisIndex,text_3.started,text_3.stopped,Task.started,Task.stopped,text_10.started,text_10.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,image_3.started,image_3.stopped,text_6.started,text_6.stopped,translucency.started,translucency.stopped,see_throughness.started,see_throughness.stopped,glow.started,glow.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,instruction.started,instruction.stopped,text_12.started,text_12.stopped,Trial_number.started,Trial_number.stopped,image.started,image.stopped,Instruction.started,Instruction.stopped,translucency_score.response,translucency_score.rt,translucency_score.started,translucency_score.stopped,Translucency.started,Translucency.stopped,seethroughness_score.response,seethroughness_score.rt,seethroughness_score.started,seethroughness_score.stopped,SeeThroughness.started,SeeThroughness.stopped,glow_score.response,glow_score.rt,glow_score.started,glow_score.stopped,Glow.started,Glow.stopped,to_next.keys,to_next.rt,to_next.started,to_next.stopped,grading_label_left.started,grading_label_left.stopped,grading_label_right.started,grading_label_right.stopped,instruct1.started,instruct1.stopped,instruct2.started,instruct2.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,text_13.started,text_13.stopped,session,date,expName,psychopyVersion,frameRate
0,,,,,,,,,,,,,,,,,470.4175503,None,476.8189498,None,549.6091616,None,space,22.63248583,554.5776657,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022_Mar_24_1356,SAR-soap,2021.1.2,59.98076944
1,,,,,,,,,,,,,,,,,,,,,,,,,,,577.7044195,None,577.7044195,None,591.4755758,None,591.4755758,None,598.9915105,None,598.9915105,None,598.9915105,None,space,39.82661947,598.9915105,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022_Mar_24_1356,SAR-soap,2021.1.2,59.98076944
2,Demo 1,demo/Demo_IMG_0974.jpg,demo,Demo_IMG_0974.jpg,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,598.9915105,None,638.8368581,None,641.1697758,None,641.1697758,None,641.1697758,None,3.0,17.71774689,641.1697758,None,641.1697758,None,5.0,24.82413166,648.272416,None,641.1697758,None,6.0,29.76386373,665.544429,None,641.1697758,None,space,3.298252504,28.42905703,None,641.1697758,None,641.1697758,None,,,,,,,,,,,1,2022_Mar_24_1356,SAR-soap,2021.1.2,59.98076944
3,Demo 2,demo/Demo_IMG_1024.jpg,demo,Demo_IMG_1024.jpg,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672.9799,None,672.9799,None,672.9799,None,1.0,22.63480612,672.9799,None,672.9799,None,1.0,24.45929464,695.1536373,None,672.9799,None,1.0,25.43043406,696.9870131,None,672.9799,None,space,1.881005407,25.4568237,None,672.9799,None,672.9799,None,,,,,,,,,,,1,2022_Mar_24_1356,SAR-soap,2021.1.2,59.98076944
4,Demo 3,demo/Demo_seed_80003.png,demo,Demo_seed_80003.png,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.4059374,None,700.4059374,None,700.4059374,None,3.0,6.490911203,700.4059374,None,700.4059374,None,2.0,8.548075871,706.4405935,None,700.4059374,None,5.0,10.25331009,708.5077978,None,700.4059374,None,space,1.563598647,10.27474392,None,700.4059374,None,700.4059374,None,,,,,,,,,,,1,2022_Mar_24_1356,SAR-soap,2021.1.2,59.98076944
5,Trial # 1,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0022.jpg,1,Group1_IMG_0022.jpg,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718.9447727,None,718.9447727,None,718.9447727,None,2.0,73.2563848,718.9447727,None,718.9447727,None,1.0,74.8460098,791.7506149,None,718.9447727,None,1.0,76.75174434,793.3505615,None,718.9447727,None,space,1.38456011,76.78352638,None,718.9447727,None,718.9447727,None,712.2419287,None,712.2419287,None,712.2419287,None,,,,,1,2022_Mar_24_1356,SAR-soap,2021.1.2,59.98076944
6,Trial # 2,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0386.jpg,0,encoded_Group2_IMG_0386.jpg,,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,797.1517603,None,797.1517603,None,797.1517603,None,2.0,2.984838222,797.1517603,None,797.1517603,None,2.0,4.240876925,799.6864175,None,797.1517603,None,3.0,5.84496883,800.9525754,None,797.1517603,None,space,1.122465724,5.876715124,None,797.1517603,None,797.1517603,None,,,,,,,,,,,1,2022_Mar_24_1356,SAR-soap,2021.1.2,59.98076944
7,Trial # 3,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9704.jpg,1,Group1_IMG_9704.jpg,,,,,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,804.187798,None,804.187798,None,804.187798,None,1.0,2.009177852,804.187798,None,804.187798,None,1.0,2.699110736,805.7377947,None,804.187798,None,1.0,3.57015552,806.4381915,None,804.187798,None,space,0.154933268,3.595638619,None,804.187798,None,804.187798,None,,,,,,,,,,,1,2022_Mar_24_1356,SAR-soap,2021.1.2,59.98076944
8,Trial # 4,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0406.jpg,1,Group1_IMG_0406.jpg,,,,,0.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807.9707731,None,807.9707731,None,807.9707731,None,2.0,2.665294349,807.9707731,None,807.9707731,None,2.0,4.05300125,810.1902632,None,807.9707731,None,2.0,5.592846862,811.5892148,None,807.9707731,None,space,0.160466483,5.621063142,None,807.9707731,None,807.9707731,None,,,,,,,,,,,1,2022_Mar_24_1356,SAR-soap,2021.1.2,59.98076944
9,Trial # 5,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0364.jpg,0,encoded_Group2_IMG_0364.jpg,,,,,0.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813.7901142,None,813.7901142,None,813.7901142,None,1.0,2.373947141,813.7901142,None,813.7901142,None,1.0,2.997388017,815.7082838,None,813.7901142,None,1.0,3.73501447,816.3404299,None,813.7901142,None,space,0.161421405,3.757113557,None,813.7901142,None,813.7901142,None,,,,,,,,,,,1,2022_Mar_24_1356,SAR-soap,2021.1.2,59.98076944
