,Trial_num,image_path,ground_truth,image_name,demos.thisRepN,demos.thisTrialN,demos.thisN,demos.thisIndex,block_1.thisRepN,block_1.thisTrialN,block_1.thisN,block_1.thisIndex,block_2.thisRepN,block_2.thisTrialN,block_2.thisN,block_2.thisIndex,text_3.started,text_3.stopped,Task.started,Task.stopped,text_10.started,text_10.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,image_3.started,image_3.stopped,text_6.started,text_6.stopped,translucency.started,translucency.stopped,see_throughness.started,see_throughness.stopped,glow.started,glow.stopped,key_resp_10.keys,key_resp_10.rt,key_resp_10.started,key_resp_10.stopped,instruction.started,instruction.stopped,text_12.started,text_12.stopped,Trial_number.started,Trial_number.stopped,image.started,image.stopped,Instruction.started,Instruction.stopped,translucency_score.response,translucency_score.rt,translucency_score.started,translucency_score.stopped,Translucency.started,Translucency.stopped,seethroughness_score.response,seethroughness_score.rt,seethroughness_score.started,seethroughness_score.stopped,SeeThroughness.started,SeeThroughness.stopped,glow_score.response,glow_score.rt,glow_score.started,glow_score.stopped,Glow.started,Glow.stopped,to_next.keys,to_next.rt,to_next.started,to_next.stopped,grading_label_left.started,grading_label_left.stopped,grading_label_right.started,grading_label_right.stopped,instruct1.started,instruct1.stopped,instruct2.started,instruct2.stopped,text_4.started,text_4.stopped,text_2.started,text_2.stopped,session,date,expName,psychopyVersion,frameRate,Unnamed: 94
0,,,,,,,,,,,,,,,,,11.333950779022416,None,105.82983055899967,None,110.96479337400524,None,space,13.475084064004475,115.93392461401528,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,129.90513303500484,None,129.90513303500484,None,135.44012034501066,None,135.44012034501066,None,142.82461720201536,None,142.82461720201536,None,142.82461720201536,None,space,17.82433276801021,142.82461720201536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
2,Demo 1,demo/Demo_IMG_0974.jpg,demo,Demo_IMG_0974.jpg,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.82461720201536,None,160.68134756601648,None,163.0642919560196,None,163.0642919560196,None,163.0642919560196,None,5.0,31.85122633201536,163.0642919560196,None,163.0642919560196,None,5.0,29.989477447001263,187.78908002900425,None,163.0642919560196,None,2.0,46.13299796800129,192.59023947801325,None,163.0642919560196,None,space,2.841495003987802,46.15935613922193,None,163.0642919560196,None,163.0642919560196,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
3,Demo 2,demo/Demo_IMG_1024.jpg,demo,Demo_IMG_1024.jpg,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.14587962802037,None,212.14587962802037,None,212.14587962802037,None,1.0,2.9890703129931357,212.14587962802037,None,212.14587962802037,None,1.0,4.678605395019986,214.681648141006,None,212.14587962802037,None,1.0,6.0838502410042565,216.38185632502427,None,212.14587962802037,None,space,1.948481967003317,6.105438344471622,None,212.14587962802037,None,212.14587962802037,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
4,Demo 3,demo/Demo_seed_80003.png,demo,Demo_seed_80003.png,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.2993578880269,None,220.2993578880269,None,220.2993578880269,None,5.0,5.676999260002049,220.2993578880269,None,220.2993578880269,None,6.0,10.633415543008596,225.5185449050041,None,220.2993578880269,None,2.0,28.94370027998229,230.4855982100125,None,220.2993578880269,None,space,1.067586997000035,28.968291051511187,None,220.2993578880269,None,220.2993578880269,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
5,Trial # 1,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0022.jpg,1,Group1_IMG_0022.jpg,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274.849761725025,None,274.849761725025,None,274.849761725025,None,1.0,19.337197468994415,274.849761725025,None,274.849761725025,None,1.0,26.812490299984347,278.116460174002,None,274.849761725025,None,1.0,14.815316781023284,280.38411927901325,None,274.849761725025,None,space,12.941081621014746,14.845551188045649,None,274.849761725025,None,274.849761725025,None,250.3258542719996,None,250.3258542719996,None,250.3258542719996,None,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
6,Trial # 2,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0386.jpg,0,encoded_Group2_IMG_0386.jpg,,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.69046819300274,None,302.69046819300274,None,302.69046819300274,None,2.0,6.794604542985326,302.69046819300274,None,302.69046819300274,None,1.0,8.884454531013034,309.025904456008,None,302.69046819300274,None,1.0,11.022882760007631,311.1279637920088,None,302.69046819300274,None,space,0.4217464170069434,11.046389327384531,None,302.69046819300274,None,302.69046819300274,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
7,Trial # 3,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_9704.jpg,1,Group1_IMG_9704.jpg,,,,,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314.1778797900188,None,314.1778797900188,None,314.1778797900188,None,1.0,2.0290694760042243,314.1778797900188,None,314.1778797900188,None,1.0,2.852478341985261,315.76155905102496,None,314.1778797900188,None,1.0,3.956158132001292,316.5948006880062,None,314.1778797900188,None,space,13.499013502005257,3.983986342413118,None,314.1778797900188,None,314.1778797900188,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
8,Trial # 4,Group1-stimuli/group1-block1/real-group1-b1/Group1_IMG_0406.jpg,1,Group1_IMG_0406.jpg,,,,,0.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331.699982465012,None,331.699982465012,None,331.699982465012,None,2.0,10.89326767899911,331.699982465012,None,331.699982465012,None,1.0,12.450956206012052,342.1362165080209,None,331.699982465012,None,1.0,13.72363888801192,343.7036684760242,None,331.699982465012,None,space,0.4794930710049812,13.745305911405012,None,331.699982465012,None,331.699982465012,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
9,Trial # 5,Group1-stimuli/group1-block1/fake-group2-b1/encoded_Group2_IMG_0364.jpg,0,encoded_Group2_IMG_0364.jpg,,,,,0.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.97145920302137,None,345.97145920302137,None,345.97145920302137,None,1.0,5.910660983005073,345.97145920302137,None,345.97145920302137,None,1.0,6.8324147920066025,351.4226413690194,None,345.97145920302137,None,1.0,7.70456886899774,352.35571888202685,None,345.97145920302137,None,space,0.370843843993498,7.729613265371881,None,345.97145920302137,None,345.97145920302137,None,,,,,,,,,1,2022_Mar_25_1706,SAR-soap,2021.1.2,59.95664834685586,
